Chapter 8 - main text
    세; three
    식당; a restaurant
    -에; at (locative particle)
    -에 있다; someone or something is located in
    남자; man
    한; one
    명; person (number classifier)
    -와/과; and (conjunctive particle)
    여자; woman
    두; two
    있다; to exist, to have
    식탁; dining table
    위; above, over
    그릇; bowl
    반찬; side dish (served with rice)
    -도; too, also (additive particle)
    많이; much, many
    과일; fruit
    그런데; by the way
    수저; spoon and chopsticks

Chapter 8 - aux vocab
    교실; classroom
    학생; student
    방; room
    책상; desk
    의자; chair
    가방; bag, purse, suitcase
    노트; notebook
    개; dog
    고양이; cat
    볼펜; ballpoint pen
    코; nose
    키가 작다; to be short in stature
    좀; a little, rather
    우산; umbrella
    배; pear
    맥주; beer
    버스정류장; bus stop
    사탕; candy
    교문; school gate
    가게; shop
    서점; bookstore
    문방구; stationery shop
    근처; surroundings
    우리; we, our
    하숙집; boarding house
    이발소; barber shop
    구두; dress shoes
    담배; cigarettes
    탁자; table
    전화; telephone
    소파; sofa
    책장; bookshelf
    안경; glasses
    좋아하다; to like, to have a liking for

Chapter 9 - main text
    안녕하세요; How are you?
    -은/는; topic particle
    -이다; to be (copula)
    독일; Germany
    -에서; from
    -았습니다/었습니다/였습니다; the past for of declarative sentence ending -ㅂ니다/습니다
    -의; possessive particle
    고향; one's native place, hometown
    함부르크; Hamburg
    나이; age
    살; age (classifier)
    가족; family
    모두; all, everybody, everything
    몇; how many
    아버지; father
    여동생; younger sister
    지금; now
    -와/과 같이; with someone
    한국; Korea

Chapter 9 - aux vocab
    한국사람; Korean person
    서울; Seoul
    월요일; Monday
    미국; America
    서다; to stand up
    앉다; to sit down
    좋다; to like, (be) good, fine, nice
    높다; (be) high
    웃다; to laugh, smile
    재미있다; (be) interesting
    맛있다; (be) tasty, delicious
    청소하다; to clean
    깨끗하다; (be) clear, clean
    조용하다; (be) quiet, silent
    어디; where
    부산; Pusan
    시계; watch
    작다; (be) small, tiny
    생일; birthday
    크다; (be) large, (be) big
    신문; newspaper
    어제; yesterday
    무척; very, highly
    일요일; Sunday
    산; mountain
    춥다; (be, feel) cold
    버스; bus
    타다; to take a ride in (a car)
    불고기; Bulgogi
    작년; last year
    집; house, home
    그저께; the day before yesterday
    하루종일; all day long
    일하다; to work
    일본; Japan
    공항; airport

Chapter 10 - main text
    백화점; department store
    -에 가다; to go to (destination)
    -에서; in (locative particle)
    그리고; and
    누구; who
    -에; at (time particle)

Chapter 10 - aux vocab
    은행; bank
    우체국; post office
    시장; market
    화장실; rest room
    부엌; kitchen
    씻다; wash
    목욕탕; bath room
    손; hands
    노래(를) 부르다; to sing a song, sing
    춤(을) 추다; to dance a dance, dance
    세수(를) 하다; to wash one's face
    한국어; Korean language
    배우다; to learn
    누가; who
    찾다; to look for, seek for
    제일; yesterday
    읽다; to read
    -들; suffix for plural noun
    분; minute
    반; half
    산; mountain
    수업; classwork
    병원; hospital
    모레; the day after tomorrow
    언제; when
    시험; examination, test
    엘레베이터; elevator
    대사관; embassy
    쓰다; to write
    숙제(를) 하다; to do homework
    아침밥; breakfast
    보내다; to send
    친척; relative
    구경(을) 하다; to sightsee
    오후; afternoon
    술; alcoholic drink, liquor
    먼저; first, first of all

Chapter 12 - main text
    저기; over there, that place
    옆집; (the) next door, the adjacent house
    살다; to live
    -고 있다; present progressive form indicator
    오래간만입니다; It has been a long time since we met.
    이; this
    자주; frequently, often
    가끔; from time to time, once in a while
    요즘; (in) these days, nowadays
    열심히; eagerly, enthusiastically
    아주; quite, very (much)
    어렵다; (be) difficult, (be) hard
    그렇지만; but
    대학생; a university student
    -이/가 아니다; the negative form of -이다
    대학원생; a graduate school student

Chapter 12 - aux vocab
    배; stomach
    머리; the head
    잘하다; to do well, to do skillfully
    라디오; radio
    기다리다; to wait for, to await
    손수건; handkerchief
    내; my (possessive form of I)
    그러나; but
    바다; the sea, the ocean
    담배를 피우다; to smoke
    중국사람; Chinese person
